
,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
84,2018,206.6543987109,CM.MKT.TRNR,CHN,China,East Asia & Pacific,Upper middle income,IBRD
85,2019,214.2880016932,CM.MKT.TRNR,CHN,China,East Asia & Pacific,Upper middle income,IBRD
86,2020,258.5512703888,CM.MKT.TRNR,CHN,China,East Asia & Pacific,Upper middle income,IBRD
87,2015,45.9662724642,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
88,2016,46.289084138,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
89,2017,47.136677681,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
90,2018,56.7719077944,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
91,2019,56.2149944736,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
92,2020,74.9506041888,CM.MKT.TRNR,IND,India,South Asia,Lower middle income,IBRD
93,2015,113.8226620995,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
94,2016,105.444195993,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
95,2017,92.8429265203,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
96,2018,119.0166158754,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
97,2019,82.3379,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
98,2020,94.3288495238,CM.MKT.TRNR,JPN,Japan,East Asia & Pacific,High income,Not classified
99,2015,165.1478470986,CM.MKT.TRNR,USA,United States,North America,High income,Not classified
100,2016,94.7188501036,CM.MKT.TRNR,USA,United States,North America,High income,Not classified
101,2017,116.078469068,CM.MKT.TRNR,USA,United States,North America,High income,Not classified
102,2018,108.512636257,CM.MKT.TRNR,USA,United States,North America,High income,Not classified
